GO_TERM	COUNT	STATUS
terpene biosynthetic process	2	Up
terpene metabolic process	2	Up
tetrahydrofolate interconversion	2	Up
thylakoid membrane organization	2	Up
transcription, DNA-templated	2	Up
trehalose biosynthetic process	2	Up
water transport	2	Up
oxidation-reduction process	5	Down
carbohydrate metabolic process	4	Down
acetyl-CoA biosynthetic process	3	Down
acyl-CoA biosynthetic process	3	Down
acyl-CoA metabolic process	3	Down
carnitine transmembrane transport	3	Down
carnitine transport	3	Down
cellular detoxification	3	Down
cellular oxidant detoxification	3	Down
drug catabolic process	3	Down
hydrogen peroxide catabolic process	3	Down
response to cadmium ion	3	Down
ribonucleoside bisphosphate biosynthetic...	3	Down
acetyl-CoA biosynthetic process from pyr...	2	Down
antibiotic catabolic process	2	Down
ATP synthesis coupled proton transport	2	Down
branched-chain amino acid catabolic proc...	2	Down
cadaverine transport	2	Down
carbohydrate biosynthetic process	2	Down
carboxylic acid biosynthetic process	2	Down
carboxylic acid catabolic process	2	Down
carboxylic acid metabolic process	2	Down
cell wall biogenesis	2	Down
cell wall macromolecule metabolic proces...	2	Down
cell wall polysaccharide metabolic proce...	2	Down
cellular amino acid catabolic process	2	Down
cellular catabolic process	2	Down
cellular glucan metabolic process	2	Down
cellular polysaccharide metabolic proces...	2	Down
cellular protein modification process	2	Down
cellular response to calcium ion	2	Down
cellular response to toxic substance	2	Down
chaperone-mediated protein complex assem...	2	Down
chaperone-mediated protein folding	2	Down
defense response	2	Down
defense response to bacterium	2	Down
defense response to bacterium, incompati...	2	Down
defense response to fungus, incompatible...	2	Down
defense response, incompatible interacti...	2	Down
fructose metabolic process	2	Down
galactose transmembrane transport	2	Down
hemicellulose metabolic process	2	Down
immune response	2	Down
leucine catabolic process	2	Down
mitochondrial electron transport, NADH t...	2	Down
monosaccharide transmembrane transport	2	Down
negative regulation of endopeptidase act...	2	Down
negative regulation of peptidase activit...	2	Down
nucleobase-containing small molecule met...	2	Down
nucleoside bisphosphate biosynthetic pro...	2	Down
oxoacid metabolic process	2	Down
phosphorylation	2	Down
photosynthesis, light harvesting in phot...	2	Down
photosynthetic electron transport in pho...	2	Down
polysaccharide biosynthetic process	2	Down
polysaccharide metabolic process	2	Down
positive regulation of cellular response...	2	Down
programmed cell death involved in cell d...	2	Down
protein folding	2	Down
protein K63-linked ubiquitination	2	Down
protein modification by small protein co...	2	Down
protein phosphorylation	2	Down
purine nucleoside bisphosphate biosynthe...	2	Down
purine nucleoside triphosphate biosynthe...	2	Down
purine nucleotide metabolic process	2	Down
purine ribonucleoside triphosphate biosy...	2	Down
purine ribonucleoside triphosphate metab...	2	Down
purine ribonucleotide biosynthetic proce...	2	Down
purine ribonucleotide metabolic process	2	Down
recognition of pollen	2	Down
regulation of growth rate	2	Down
response to amitrole	2	Down
response to bacterium	2	Down
response to external biotic stimulus	2	Down
response to herbivore	2	Down
response to other organism	2	Down
response to oxidative stress	2	Down
response to salt stress	2	Down
response to silver ion	2	Down
response to vitamin B1	2	Down
ribonucleotide biosynthetic process	2	Down
ribonucleotide metabolic process	2	Down
small molecule metabolic process	2	Down
sulfate transmembrane transport	2	Down
thioester biosynthetic process	2	Down
vacuolar sequestering of sodium ion	2	Down
xylan catabolic process	2	Down
xyloglucan metabolic process	2	Down
