GO.ID	Term	Annotated	Significant	Expected	p_val	FDR	status_name	DAG_level	study	comparison	genelist	comb
GO:0031328	positive regulation of cellular biosynth...	502	109	64.37	1.66722391736942e-08	1.24628436728018e-06	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009773	photosynthetic electron transport in pho...	44	21	5.64	1.7978912603359e-08	1.30860799591592e-06	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0051254	positive regulation of RNA metabolic pro...	433	97	55.52	2.03552069214408e-08	1.4607011164048e-06	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009891	positive regulation of biosynthetic proc...	522	112	66.94	2.10334850462414e-08	1.48841119875833e-06	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0050789	regulation of biological process	6839	1008	876.96	2.34754017519712e-08	1.63845440994922e-06	significant	3	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009415	response to water	1058	197	135.67	2.78434364292197e-08	1.89149744809166e-06	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0010557	positive regulation of macromolecule bio...	450	99	57.7	3.79197075354461e-08	2.5421172354355e-06	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0010628	positive regulation of gene expression	486	105	62.32	3.97679325444787e-08	2.63139761446908e-06	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009642	response to light intensity	430	95	55.14	5.74047761537376e-08	3.74970941670888e-06	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0045893	positive regulation of transcription, DN...	390	87	50.01	1.30450033560556e-07	8.30803651238793e-06	significant	12	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0046148	pigment biosynthetic process	324	75	41.55	2.01849395864369e-07	1.26965761966538e-05	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0031425	chloroplast RNA processing	46	20	5.9	2.69204144496958e-07	1.67267697099024e-05	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0071478	cellular response to radiation	253	62	32.44	2.78229291352385e-07	1.70792558968723e-05	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0071482	cellular response to light stimulus	249	61	31.93	3.49883398099933e-07	2.12220942061805e-05	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0008652	cellular amino acid biosynthetic process	379	83	48.6	5.65523722440647e-07	3.35039926259895e-05	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0031325	positive regulation of cellular metaboli...	738	141	94.63	6.07880915225511e-07	3.55994627939538e-05	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009720	detection of hormone stimulus	20	12	2.56	8.98450922179094e-07	5.08623049833609e-05	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009726	detection of endogenous stimulus	20	12	2.56	8.98450922179094e-07	5.08623049833609e-05	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1903508	positive regulation of nucleic acid-temp...	408	87	52.32	1.00362368962968e-06	5.55811162898177e-05	significant	11	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009893	positive regulation of metabolic process	837	155	107.33	1.18682989479213e-06	6.50204119781278e-05	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0010270	photosystem II oxygen evolving complex a...	12	9	1.54	1.41567908494503e-06	7.67328184871803e-05	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0034660	ncRNA metabolic process	692	132	88.73	1.50528892371046e-06	8.07310217505769e-05	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0031324	negative regulation of cellular metaboli...	740	139	94.89	1.9126798700625e-06	0.000101511499353838	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009890	negative regulation of biosynthetic proc...	501	101	64.24	2.140153939935e-06	0.000112413240453287	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009644	response to high light intensity	234	56	30.01	2.26942389433407e-06	0.000117986885118695	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009639	response to red or far red light	498	100	63.86	2.87240847932075e-06	0.000147827486890295	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009725	response to hormone	3090	477	396.23	3.23415038635803e-06	0.000164779962184942	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:2000113	negative regulation of cellular macromol...	433	89	55.52	3.74660718251597e-06	0.000187146701910969	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009727	detection of ethylene stimulus	16	10	2.05	4.5396575229049e-06	0.000222718182126743	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0000373	Group II intron splicing	45	18	5.77	4.54616112682656e-06	0.000222718182126743	significant	12	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0001101	response to acid chemical	2513	395	322.24	4.67176871163447e-06	0.000226262715564216	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0010558	negative regulation of macromolecule bio...	460	93	58.99	4.70733029436838e-06	0.000226262715564216	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1901259	chloroplast rRNA processing	24	12	3.08	1.1721229692914e-05	0.000538015002571141	significant	11	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006364	rRNA processing	260	58	33.34	1.51128719744113e-05	0.000687500738478799	significant	10	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0051253	negative regulation of RNA metabolic pro...	411	83	52.7	1.55448274160421e-05	0.000700892882165792	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009414	response to water deprivation	1018	176	130.54	1.76101162812451e-05	0.00078704861800828	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006545	glycine biosynthetic process	12	8	1.54	2.21828779685558e-05	0.000950650344972642	significant	11	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0019264	glycine biosynthetic process from serine	12	8	1.54	2.21828779685558e-05	0.000950650344972642	significant	12	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0035999	tetrahydrofolate interconversion	12	8	1.54	2.21828779685558e-05	0.000950650344972642	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0007064	mitotic sister chromatid cohesion	15	9	1.92	2.23605856847363e-05	0.000950650344972642	significant	10	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0019676	ammonia assimilation cycle	15	9	1.92	2.23605856847363e-05	0.000950650344972642	significant	11	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0010196	nonphotochemical quenching	29	13	3.72	2.25767795371324e-05	0.000950650344972642	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0042214	terpene metabolic process	37	15	4.74	2.33386706878696e-05	0.000966752253290208	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009637	response to blue light	225	51	28.85	3.06416942573832e-05	0.00125902767936587	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0051172	negative regulation of nitrogen compound...	643	118	82.45	3.2775720570878e-05	0.00133593837046899	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0042754	negative regulation of circadian rhythm	5	5	0.64	3.45756656301042e-05	0.00137627356551079	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0050779	RNA destabilization	5	5	0.64	3.45756656301042e-05	0.00137627356551079	significant	10	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0061157	mRNA destabilization	5	5	0.64	3.45756656301042e-05	0.00137627356551079	significant	12	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009690	cytokinin metabolic process	30	13	3.85	3.51701902197083e-05	0.00138908619511173	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0042254	ribosome biogenesis	373	75	47.83	4.52239039908829e-05	0.00174747721786461	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006651	diacylglycerol biosynthetic process	16	9	2.05	4.5273207607091e-05	0.00174747721786461	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0090391	granum assembly	13	8	1.67	5.11581471863651e-05	0.00195978014973331	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0046246	terpene biosynthetic process	27	12	3.46	5.19313600099196e-05	0.00197455432276523	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0045727	positive regulation of translation	31	13	3.98	5.34754072922816e-05	0.00200336176583952	significant	10	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1901607	alpha-amino acid biosynthetic process	327	67	41.93	6.19152925493657e-05	0.00230261617181765	significant	9	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1901403	positive regulation of tetrapyrrole meta...	17	9	2.18	8.52349102147717e-05	0.00307994232300895	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0035670	plant-type ovary development	99	27	12.69	9.01120355530393e-05	0.00323324521931504	significant	13	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009756	carbohydrate mediated signaling	115	30	14.75	9.23913972025824e-05	0.00326898728296637	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0010182	sugar mediated signaling pathway	115	30	14.75	9.23913972025824e-05	0.00326898728296637	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006996	organelle organization	2446	374	313.65	9.5914389641263e-05	0.00337023320842921	significant	5	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0090549	response to carbon starvation	8	6	1.03	9.82895821158824e-05	0.00343003712931795	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0034622	cellular protein-containing complex asse...	647	116	82.96	0.000104289892938674	0.00361467350015337	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0042136	neurotransmitter biosynthetic process	37	14	4.74	0.000106738327869551	0.00367453905740109	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0009704	de-etiolation	33	13	4.23	0.000115869098050015	0.0038896680601081	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0001887	selenium compound metabolic process	11	7	1.41	0.000116493616250548	0.0038896680601081	significant	4	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0000375	RNA splicing, via transesterification re...	309	63	39.62	0.000116804556073904	0.0038896680601081	significant	10	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0000377	RNA splicing, via transesterification re...	309	63	39.62	0.000116804556073904	0.0038896680601081	significant	11	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0045892	negative regulation of transcription, DN...	359	71	46.03	0.000121064952022706	0.00397952213261732	significant	12	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0046165	alcohol biosynthetic process	123	31	15.77	0.000141914528120472	0.00455792200097323	significant	6	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1903507	negative regulation of nucleic acid-temp...	386	75	49.5	0.000142239371571098	0.00455792200097323	significant	11	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1901465	positive regulation of tetrapyrrole bios...	15	8	1.92	0.000201380947503072	0.00633355510819846	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0006696	ergosterol biosynthetic process	12	7	1.54	0.000248528649845338	0.00740499105825728	significant	8	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:0008204	ergosterol metabolic process	12	7	1.54	0.000248528649845338	0.00740499105825728	significant	7	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
GO:1902326	positive regulation of chlorophyll biosy...	12	7	1.54	0.000248528649845338	0.00740499105825728	significant	10	SRP072216	LEAVES_D-LEAVES_C	topGO_UP_pval0.05.tsv	SRP072216/LEAVES_D-LEAVES_C
